Time[s],xPosition1[m],yPosition1[m],absPosition1[m],Angle1[rad],xVelocity1[m/s],yVelocity1[m/s],absVelocity81[m/s],AngularVelocity1[rad/s]
0.0,0.000166175,0.00014294499999999998,0.000219197,,,,,
0.125,0.000166182,0.000143001,0.000219239,,-2.262e-07,4.4378e-07,4.981e-07,
0.25,0.00016611799999999998,0.000143056,0.000219227,,-5.7081e-07,8.7124e-07,1.0416e-06,
0.375,0.000166258,0.000142789,0.000219158,,-1.1968e-06,1.3577e-06,1.8099e-06,
0.5,0.00016578,0.000143596,0.000219324,,-1.0922e-06,1.2272e-06,1.6428e-06,
0.625,0.000165503,0.000143626,0.000219134,,-9.2591e-07,1.0573e-06,1.4054e-06,
0.75,0.000165344,0.00014393200000000002,0.000219215,,-7.3575e-07,8.0567e-07,1.0911e-06,
0.875,0.00016537099999999999,0.000143979,0.000219266,,-2.6615e-07,9.4253e-08,2.8235e-07,
1.0,0.00016531100000000002,0.000143865,0.000219146,,4.426e-09,-3.2934e-07,3.2937e-07,
1.125,0.000165271,0.000144071,0.000219251,,1.9376e-07,-5.9952e-07,6.3006e-07,
1.25,0.000165284,0.00014396800000000001,0.00021919300000000001,,1.8929e-07,-5.044e-07,5.3875e-07,
1.375,0.00016530600000000002,0.000143975,0.000219214,,2.3499e-07,-5.1367e-07,5.6487e-07,
1.5,0.000165344,0.000143791,0.000219122,,2.1185e-07,-3.6584e-07,4.2275e-07,
1.625,0.000165906,0.000143024,0.000219045,,1.4136e-07,-2.5017e-07,2.8735e-07,
1.75,0.000166462,0.000141918,0.000218747,,3.6347e-08,-5.8408e-08,6.8794e-08,
1.875,0.000166526,0.000141879,0.000218771,,-6.5457e-08,1.4271e-07,1.5701e-07,
2.0,0.000166162,0.00014242900000000001,0.00021885199999999998,,-1.8285e-07,4.3964e-07,4.7615e-07,
2.125,0.000165263,0.000144111,0.000219272,,-4.1402e-07,9.841e-07,1.0676e-06,
2.25,0.00016523299999999998,0.00014404600000000002,0.000219205,,-5.8575e-07,1.5837e-06,1.6886e-06,
2.375,0.000165288,0.000144088,0.000219275,,-6.6894e-07,2.1339e-06,2.2363e-06,
2.5,0.000165298,0.00014396300000000002,0.00021920000000000002,,-7.1638e-07,2.4132e-06,2.5173e-06,
2.625,0.00016527700000000002,0.000144041,0.00021923599999999999,,-5.106e-07,2.4242e-06,2.4774e-06,
2.75,0.00016525300000000003,0.00014405,0.00021922400000000001,,1.4338e-08,2.2164e-06,2.2164e-06,
2.875,0.000165226,0.00014467,0.000219611,,6.6296e-07,2.4955e-06,2.5821e-06,
3.0,0.000164692,0.000145787,0.000219948,,1.1991e-06,1.9838e-06,2.3181e-06,
3.125,0.00016489100000000002,0.000146426,0.000220521,,1.469e-06,1.8596e-06,2.3699e-06,
3.25,0.00016525300000000003,0.000146522,0.00022085600000000001,,1.6327e-06,1.6798e-06,2.3426e-06,
3.375,0.000165381,0.000145742,0.00022043399999999998,,1.593e-06,1.5643e-06,2.2326e-06,
3.5,0.00016601,0.000145556,0.00022078400000000002,,1.1653e-06,1.3239e-06,1.7637e-06,
3.625,0.00016698399999999999,0.000146088,0.000221868,,7.2741e-07,1.0553e-06,1.2817e-06,
3.75,0.00016760400000000002,0.00014916299999999998,0.00022436700000000003,,3.003e-07,7.0281e-07,7.6428e-07,
3.875,0.00016761100000000002,0.00014562,0.000222033,,-1.0027e-07,3.5604e-07,3.6989e-07,
4.0,0.000167515,0.000146091,0.00022227,,-5.2904e-07,1.8677e-07,5.6104e-07,
4.125,0.000167341,0.00014617,0.000222191,,-5.8332e-07,2.6999e-07,6.4277e-07,
4.25,0.000166561,0.000146747,0.00022198499999999998,,-6.0517e-07,6.884e-07,9.1659e-07,
4.375,0.000164793,0.000146646,0.000220594,,-7.1778e-07,7.9757e-07,1.073e-06,
4.5,0.000164692,0.000146798,0.00022062,,-7.9826e-07,8.6543e-07,1.1774e-06,
4.625,0.000164691,0.00014676200000000002,0.00022059500000000003,,-8.1014e-07,9.3264e-07,1.2354e-06,
4.75,0.000164773,0.00014647,0.000220462,,-7.2568e-07,1.4286e-06,1.6023e-06,
4.875,0.00016517799999999998,0.000146338,0.00022067800000000003,,-6.3513e-07,1.0121e-06,1.1949e-06,
5.0,0.00016689300000000002,0.000146949,0.000222367,,-5.4207e-07,6.5324e-07,8.4886e-07,
5.125,0.00016692699999999998,0.00014859,0.000223481,,-4.045e-07,3.4558e-07,5.3202e-07,
5.25,0.000166567,0.000148231,0.000222973,,-3.2686e-07,9.0869e-08,3.3925e-07,
5.375,0.000166178,0.00014859200000000002,0.000222923,,-5.7432e-07,-3.2346e-07,6.5914e-07,
5.5,0.000165431,0.000148415,0.00022224900000000002,,-3.9288e-07,-6.2602e-07,7.3909e-07,
5.625,0.000164983,0.00014737700000000002,0.000221222,,-1.3378e-07,-8.9733e-07,9.0725e-07,
5.75,0.00016463,0.000146609,0.00022044800000000001,,6.6909e-08,-1.2399e-06,1.2417e-06,
5.875,0.000164327,0.00014649999999999998,0.00022014900000000002,,2.5812e-07,-1.5623e-06,1.5835e-06,
6.0,0.000164294,0.000146723,0.000220273,,6.5985e-07,-1.6968e-06,1.8206e-06,
6.125,0.00016445,0.00014640800000000003,0.000220179,,9.2618e-07,-1.5103e-06,1.7716e-06,
6.25,0.000164544,0.000145677,0.00021976399999999998,,9.4869e-07,-1.4728e-06,1.7519e-06,
6.375,0.000166767,0.000145923,0.00022159599999999998,,8.4806e-07,-1.299e-06,1.5513e-06,
6.5,0.00016745399999999999,0.000145996,0.000222161,,6.1834e-07,-1.0734e-06,1.2387e-06,
6.625,0.000167462,0.000145864,0.000222081,,3.8511e-07,-9.2142e-07,9.9866e-07,
6.75,0.00016733600000000003,0.000146029,0.00022209400000000002,,2.8138e-07,-8.551e-07,9.0021e-07,
6.875,0.000166737,0.000146227,0.000221773,,2.4424e-07,-7.6644e-07,8.0442e-07,
7.0,0.00016599800000000002,0.00014585300000000001,0.000220972,,2.4383e-07,-6.0522e-07,6.5249e-07,
7.125,0.000165059,0.00014512700000000002,0.00021978700000000002,,2.3681e-07,-4.7883e-07,5.3419e-07,
7.25,0.000164672,0.000144952,0.000219381,,1.484e-07,-4.864e-07,5.0854e-07,
7.375,0.000164665,0.000144893,0.000219337,,2.3721e-07,-4.0861e-07,4.7248e-07,
7.5,0.00016505,0.000145209,0.000219834,,2.5127e-07,-3.6347e-07,4.4187e-07,
7.625,0.00016611000000000002,0.00014534900000000002,0.000220724,,2.1957e-07,-3.504e-07,4.1351e-07,
7.75,0.000167001,0.000145405,0.000221432,,1.8855e-07,-3.0729e-07,3.6052e-07,
7.875,0.000167605,0.00014535600000000002,0.000221855,,8.626e-08,-1.8996e-07,2.0863e-07,
8.0,0.00016786699999999998,0.00014534700000000002,0.000222047,,-7.2083e-08,-1.0855e-07,1.303e-07,
8.125,0.00016784,0.000145361,0.00022203600000000003,,-2.4179e-07,-9.849e-08,2.6108e-07,
8.25,0.000166656,0.00014546100000000002,0.000221208,,-2.8304e-07,-1.445e-07,3.1779e-07,
8.375,0.000165482,0.000145148,0.000220119,,-1.8475e-07,-1.8662e-07,2.626e-07,
8.5,0.000164962,0.000145018,0.000219642,,-1.0463e-07,-1.6517e-07,1.9552e-07,
8.625,0.000164753,0.000144859,0.00021938,,1.1094e-07,-1.0119e-07,1.5015e-07,
8.75,0.000164711,0.000144837,0.000219335,,2.9095e-07,-2.6466e-08,2.9215e-07,
8.875,0.000164986,0.000144886,0.000219573,,3.5898e-07,1.2549e-08,3.592e-07,
9.0,0.000165859,0.00014522099999999998,0.00022045000000000002,,3.8947e-07,-1.494e-08,3.8976e-07,
9.125,0.00016705700000000002,0.000145153,0.00022130900000000002,,4.6765e-07,-4.1036e-08,4.6945e-07,
9.25,0.000168104,0.000145269,0.00022217500000000002,,3.7077e-07,-2.8833e-08,3.7189e-07,
9.375,0.000168064,0.00014528,0.00022215199999999998,,1.3e-07,-6.4297e-08,1.4503e-07,
9.5,0.00016796,0.000145343,0.00022211500000000002,,-1.2058e-07,-1.7607e-08,1.2186e-07,
9.625,0.00016702900000000002,0.00014533099999999998,0.000221404,,-2.0734e-07,1.2235e-07,2.4075e-07,
9.75,0.000165782,0.000145198,0.000220378,,-3.0304e-07,1.8615e-07,3.5564e-07,
9.875,0.00016503499999999998,0.000144854,0.00021958900000000001,,-4.052e-07,2.1794e-07,4.601e-07,
10.0,0.00016489899999999998,0.00014477400000000002,0.000219434,,-4.026e-07,3.2832e-07,5.195e-07,
10.125,0.000164957,0.00014476700000000002,0.000219473,,-2.2354e-07,4.8362e-07,5.3279e-07,
10.25,0.00016533700000000002,0.000144787,0.000219771,,2.5804e-08,5.9775e-07,5.9831e-07,
10.375,0.000165861,0.000145295,0.0002205,,7.7549e-08,5.4898e-07,5.5443e-07,
10.5,0.00016704800000000002,0.000145983,0.000221847,,1.7365e-07,5.0251e-07,5.3167e-07,
10.625,0.000167378,0.000145788,0.000221967,,1.2762e-07,4.5373e-07,4.7134e-07,
10.75,0.00016741300000000002,0.000145708,0.000221941,,-3.0613e-08,3.9306e-07,3.9425e-07,
10.875,0.000167286,0.000145835,0.000221929,,-1.8295e-07,2.7709e-07,3.3204e-07,
11.0,0.00016700300000000001,0.000146225,0.000221972,,-3.7758e-08,2.0266e-07,2.0615e-07,
11.125,0.00016615,0.00014604,0.000221209,,3.9422e-07,1.7308e-07,4.3054e-07,
11.25,0.000164929,0.00014532300000000002,0.000219819,,6.8716e-07,1.5275e-07,7.0394e-07,
11.375,0.000164821,0.000145269,0.000219702,,9.2517e-07,2.7237e-07,9.6443e-07,
11.5,0.000164727,0.00014526,0.000219626,,1.2234e-06,5.3348e-07,1.3346e-06,
11.625,0.000165261,0.000145343,0.000220081,,1.5083e-06,5.4863e-07,1.605e-06,
